component_id,bank_deposit_id,payment_unit_id,kind,amount,deposit_amount,deposit_component_total,reconciliation_flag,source,source_staged_payment_id,staged_payer,staged_date,qb_deposit_id,ambiguous_deposit_match
"bdc_znbokMCQu4O4uvZjRh5WC","bdep_4c0b0fedaecab006d0d778ac","pu_znbokMCQu4O4uvZjRh5WC","check","25000.00","25000","25000","ok","qbo_inferred","znbokMCQu4O4uvZjRh5WC","Gates Family Foundation","2023-12-27","27329","false"
"bdc_8BdLq6ZNISKGLY7P5Sw88","bdep_afb71b701dbee97a3d736f4a","pu_8BdLq6ZNISKGLY7P5Sw88","check","13980.00","13980","13980","ok","qbo_inferred","8BdLq6ZNISKGLY7P5Sw88","Early Milestones Colorado Circle","2023-08-14","25656","false"
"bdc_1IeSrSZTpxCoCs3OU4q3c","bdep_a80ffd9eff6b4a148a12b5f5","pu_1IeSrSZTpxCoCs3OU4q3c","other","20000.00","30000","30000","ok","qbo_inferred","1IeSrSZTpxCoCs3OU4q3c","Frey Foundation","2018-01-11","2531","false"
"bdc_19Iyh7cbHD8CZKwd6EgKF","bdep_d4dd6315c466f04d8137c4f5","pu_19Iyh7cbHD8CZKwd6EgKF","check","50000.00","50000","50000","ok","qbo_inferred","19Iyh7cbHD8CZKwd6EgKF","Bainum Family Foundation","2024-03-19","28052","false"
"bdc_pvn2FrAdgfyfFsLPxTzbP","bdep_a3eb8d1d39d0a281776d2b24","pu_pvn2FrAdgfyfFsLPxTzbP","other","250.00","250","250","ok","qbo_inferred","pvn2FrAdgfyfFsLPxTzbP","AMY HERTEL","2019-01-10","6069","false"
"bdc_57hcboHFPuX4qdljSM449:split:1","bdep_18b0fa1a64e50691f57eef7d","pu_57hcboHFPuX4qdljSM449:split:1","other","5000.00","10000","10000","ok","qbo_inferred","57hcboHFPuX4qdljSM449:split:1","Hanhwa Kao","2024-09-30","30478","false"
"bdc_57hcboHFPuX4qdljSM449:split:2","bdep_18b0fa1a64e50691f57eef7d","pu_57hcboHFPuX4qdljSM449:split:2","other","5000.00","10000","10000","ok","qbo_inferred","57hcboHFPuX4qdljSM449:split:2","Hanhwa Kao","2024-09-30","30478","false"
"bdc_WWbM-Xk_oxrSHO4zm6NT6","bdep_a3a71fac297bc5e8d0a9f140","pu_WWbM-Xk_oxrSHO4zm6NT6","other","3500.00","3500","3500","ok","qbo_inferred","WWbM-Xk_oxrSHO4zm6NT6","America Online Giving Fund","2025-01-31","32233","false"
"bdc_VhOOgHGsdUUsvh9b8880g","bdep_3089740442278fa269e24dfa","pu_VhOOgHGsdUUsvh9b8880g","check","10000.00","10000","10000","ok","qbo_inferred","VhOOgHGsdUUsvh9b8880g","Education Forward DC","2023-10-20","26559","false"
"bdc_To-pU5ogf6SFa7GudD79y","bdep_3d04c575d5f5c061ad6369d7","pu_To-pU5ogf6SFa7GudD79y","other","200000.00","200000","200000","ok","qbo_inferred","To-pU5ogf6SFa7GudD79y","Walton Family Foundation","2019-04-01","6952","false"
"bdc_72JTwqPCBY1xcx_2fynE1","bdep_6d1cd66a09a8fafa1abee491","pu_72JTwqPCBY1xcx_2fynE1","other","200000.00","200000","200000","ok","qbo_inferred","72JTwqPCBY1xcx_2fynE1","DC Wildflower PCS - Service Revenue","2017-06-30","1027","false"
"bdc_YVFC5TLjn4JQr1EePgNSh","bdep_432915fa8aeeb42c03236711","pu_YVFC5TLjn4JQr1EePgNSh","other","140801.72","140801.72","140801.72","ok","qbo_inferred","YVFC5TLjn4JQr1EePgNSh","Arthur Rock Foundation","2018-06-05","3460","false"
"bdc_dkd5KsrCp9Aw0RHb6VNfq","bdep_837a502d5cde3ee363e3aba7","pu_dkd5KsrCp9Aw0RHb6VNfq","other","720000.00","720000","720000","ok","qbo_inferred","dkd5KsrCp9Aw0RHb6VNfq","Walton Family Foundation","2018-06-15","3689","false"
"bdc_Ix35gVTsZx9EuiXdXrm9A","bdep_518cf4062f26eb850f79c61d","pu_Ix35gVTsZx9EuiXdXrm9A","other","500.00","2999","500","ok","qbo_inferred","Ix35gVTsZx9EuiXdXrm9A","East Bay Community Foundation","2017-09-08","1594","false"
"bdc_XauYvjVqajTTweSOqb-88","bdep_cd44bd29dce9d3ef1bca38f9","pu_XauYvjVqajTTweSOqb-88","other","286604.93","286604.93","286604.93","ok","qbo_inferred","XauYvjVqajTTweSOqb-88","Arthur Rock Foundation","2018-05-25","3420","false"
"bdc_-H-SjZsuUmbtrUpxWOEBb","bdep_defd0be9a60676a48cfdffc9","pu_-H-SjZsuUmbtrUpxWOEBb","other","284375.00","284375","284375","ok","qbo_inferred","-H-SjZsuUmbtrUpxWOEBb","Walton Family Foundation","2018-08-17","4115","false"
"bdc_YIiyavKTatCZFcluakEPz","bdep_5a395b1adc72f95061abfa9e","pu_YIiyavKTatCZFcluakEPz","other","475000.00","475000","475000","ok","qbo_inferred","YIiyavKTatCZFcluakEPz","Walton Family Foundation","2018-12-07","5562","false"
"bdc_i6C-pKESa6lr3Dz2tgoip","bdep_8fe056e27612fe89a8c3ac75","pu_i6C-pKESa6lr3Dz2tgoip","other","35000.00","35000","35000","ok","qbo_inferred","i6C-pKESa6lr3Dz2tgoip","The Mind Trust","2018-12-12","5566","false"
"bdc_WFu_eh0QPyaX3OHTF_CIu","bdep_450b0df8b6afb686a115ad26","pu_WFu_eh0QPyaX3OHTF_CIu","other","35000.00","35000","35000","ok","qbo_inferred","WFu_eh0QPyaX3OHTF_CIu","I.A. O'Shaughnessy Foundation","2018-12-21","5599","false"
"bdc_2FuX80J7AL1P1FH8GbuWs","bdep_348db8b7523757d52bbab988","pu_2FuX80J7AL1P1FH8GbuWs","other","15000.00","80000","80000","ok","qbo_inferred","2FuX80J7AL1P1FH8GbuWs","Fidelity Foundations","2025-12-30","37053","false"
"bdc_DJxYyhEg_s3u3p6d4Ug3o","bdep_0aa578b534452d2b84eae61a","pu_DJxYyhEg_s3u3p6d4Ug3o","other","60000.00","60000","60000","ok","qbo_inferred","DJxYyhEg_s3u3p6d4Ug3o","The Douglass Brandenborg Family Foundation","2025-11-26","36566","false"
"bdc_psPej3jzrqnVDNPKq6yAT","bdep_aa02e8e41ac4aba8e3e951ab","pu_psPej3jzrqnVDNPKq6yAT","other","100000.00","100000","100000","ok","qbo_inferred","psPej3jzrqnVDNPKq6yAT","Silicon  Schools Fund","2019-04-02","6953","false"
"bdc_206jdtJJa4i1y-s2Il9yR","bdep_f4dcd3219dd60382975885a9","pu_206jdtJJa4i1y-s2Il9yR","other","25000.00","25000","25000","ok","qbo_inferred","206jdtJJa4i1y-s2Il9yR","JP Morgan Charitable Giving Fund","2019-07-09","7926","false"
"bdc_2sbtkRgJTTUZioPUm750O","bdep_742abec24050100941337f90","pu_2sbtkRgJTTUZioPUm750O","other","5000.00","5000","5000","ok","qbo_inferred","2sbtkRgJTTUZioPUm750O","","2018-03-16","3012","false"
"bdc_h6ZPZO8Aj4ZF62i5julR9","bdep_7735ce8fa95ebd4191b946d8","pu_h6ZPZO8Aj4ZF62i5julR9","direct_ach","20000.00","20000","20000","ok","qbo_inferred","h6ZPZO8Aj4ZF62i5julR9","The 20 22 ACT Society","2026-01-02","37479","false"
"bdc_pCFw5YiH6fJVw9zFhXv9l","bdep_8643c60b188d865d8a4caa1a","pu_pCFw5YiH6fJVw9zFhXv9l","other","100000.00","100000","100000","ok","qbo_inferred","pCFw5YiH6fJVw9zFhXv9l","Piton Foundation","2018-05-29","3419","false"
"bdc_l8EFNSz9Sl3CfjAs6708V","bdep_ce907a14ee7f1e082cf713a0","pu_l8EFNSz9Sl3CfjAs6708V","direct_ach","90000.00","90000","90000","ok","qbo_inferred","l8EFNSz9Sl3CfjAs6708V","Truist Foundation","2026-05-13","39331","false"
"bdc_8r4tQubAh23RqksEG7OU-","bdep_b471f7eb1b52caa2f92cd49f","pu_8r4tQubAh23RqksEG7OU-","other","750000.00","1500000","1500000","ok","qbo_inferred","8r4tQubAh23RqksEG7OU-","Arthur Rock Foundation","2024-07-08","29390","false"
"bdc_tMS-Avc4nvMsDpFTVOtNY","bdep_a80ffd9eff6b4a148a12b5f5","pu_tMS-Avc4nvMsDpFTVOtNY","other","10000.00","30000","30000","ok","qbo_inferred","tMS-Avc4nvMsDpFTVOtNY","Minneapolis Foundation","2018-01-11","2531","false"
"bdc_dY_09QYkB-Axu7ZFYmJuR","bdep_27f94f74558e4b583a5c8986","pu_dY_09QYkB-Axu7ZFYmJuR","other","15000.00","15000","15000","ok","qbo_inferred","dY_09QYkB-Axu7ZFYmJuR","Benjamin Statz","2020-12-31","14254","false"
"bdc_2BcUzCAPqEbecBfh2L7pN","bdep_79b2f1559152754023e6e7e7","pu_2BcUzCAPqEbecBfh2L7pN","other","1000.00","1000","1000","ok","qbo_inferred","2BcUzCAPqEbecBfh2L7pN","JEMP-D Foundation","2019-03-14","6615","false"
"bdc_NZF4oaNaj1OuNR84BReZn","bdep_a640a775258a0dc32497c6d4","pu_NZF4oaNaj1OuNR84BReZn","other","1625000.00","1625000","1625000","ok","qbo_inferred","NZF4oaNaj1OuNR84BReZn","Chan / Zuckerberg Foundation","2017-04-19","822","false"
"bdc_fe20NzJrK3GYkpymmM9VD","bdep_b471f7eb1b52caa2f92cd49f","pu_fe20NzJrK3GYkpymmM9VD","other","750000.00","1500000","1500000","ok","qbo_inferred","fe20NzJrK3GYkpymmM9VD","Arthur Rock Foundation","2024-07-08","29390","false"
"bdc_lwwqcgE4EvrIia3t9agYL","bdep_72330ae407442fbf9fd0c869","pu_lwwqcgE4EvrIia3t9agYL","other","117000.00","117000","117000","ok","qbo_inferred","lwwqcgE4EvrIia3t9agYL","Walton Family Foundation","2020-05-20","12063","false"
"bdc_GYBF4RJ6O8_zbGAcqbvef","bdep_9634bb52e9114b062a0aa6c3","pu_GYBF4RJ6O8_zbGAcqbvef","other","250000.00","250853","250000","ok","qbo_inferred","GYBF4RJ6O8_zbGAcqbvef","Chan / Zuckerberg Foundation","2017-06-13","1029","false"
"bdc_B56KVOnRGQrj4dRBrMiLo","bdep_57936b34cc1ef3c3edb96982","pu_B56KVOnRGQrj4dRBrMiLo","other","205000.00","205000","205000","ok","qbo_inferred","B56KVOnRGQrj4dRBrMiLo","New Schools Venture Fund","2020-03-17","11598","false"
"bdc_UHE-uTVUwwcr2FLdjBQnp","bdep_8981b2c4b8890ea71aea818d","pu_UHE-uTVUwwcr2FLdjBQnp","other","18500.00","18500","18500","ok","qbo_inferred","UHE-uTVUwwcr2FLdjBQnp","","2021-08-27","17576","false"
"bdc_-L6KY58mi0-N4vL8jAKEY","bdep_66035db77ae3180947edd947","pu_-L6KY58mi0-N4vL8jAKEY","other","93.10","93.1","93.1","ok","qbo_inferred","-L6KY58mi0-N4vL8jAKEY","Mighty Cause","2019-11-26","10312","false"
"bdc_I0wp6Eb5Wi8A5svNX2zS1","bdep_4a5682b5bd4f44c064791399","pu_I0wp6Eb5Wi8A5svNX2zS1","direct_ach","1109.81","1109.81","1109.81","ok","qbo_inferred","I0wp6Eb5Wi8A5svNX2zS1","Maia Blankenship -- Donor","2026-01-08","37480","false"
"bdc_bllTXRZplXrsjM2VD7ws9","bdep_06109513e4bf307baab148bb","pu_bllTXRZplXrsjM2VD7ws9","other","200000.00","200000","200000","ok","qbo_inferred","bllTXRZplXrsjM2VD7ws9","Avi and Sandra Nash","2020-12-31","14255","false"
